razon_social,n_concesiones,hectareas_totales,departamentos,provincias,estados_concesion,sustancias,dominio_corporativo,nombre_decisor,cargo,correo_corporativo,telefono_empresarial,fuente_dato,servicio_potencial,ultima_interaccion
MINERA URPAY E.I.R.L.,1,100.0,ANCASH,PALLASCA,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. LLUQUE,1,100.0,ANCASH,PALLASCA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. WINIBEL,1,400.0,ANCASH,SANTA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
SEVIC CONTRATISTAS E.I.R.L.,1,100.0,ANCASH,SANTA,TRAMITE,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. MI GORDITA,1,300.0,ANCASH,SANTA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. MONTECRISTO2024,1,200.0,ANCASH,SANTA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
INVERSIONES GENERALES WL EIRL,1,500.0,ANCASH,SANTA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
COMPAÑIA MINERA DONMAYO S.A.C.,1,1000.0,ANCASH,SANTA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. LADY LU,1,500.0,ANCASH,SANTA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
EUROMINAS S.A.C.,1,6.0,ANCASH,SANTA,TRAMITE,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
VICTORIA SILVIA ELIZABETH CRISTHIAN E.I.R.L. - VISELIC E.I.R,1,400.0,ANCASH,SANTA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
INVERSIONES MAVEGRA E.I.R.L.,1,300.0,ANCASH,SANTA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
"ASESORIA, INVERSIONES Y SERVICIOS NCF EIRL",1,100.0,ANCASH,SANTA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
COMPAÑIA MINERA KALLPAMINA S.A.C,1,500.0,ANCASH,SANTA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
PLANTA EL MIRADOR CORPORATION S.A.C.,1,11.3,ANCASH,SANTA,OTROS,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
DEOCHRYSO S.A.C.,1,100.0,ANCASH,SANTA,EXTINGUIDO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
GRUPO EMPRESARIAL MINERO M.S. S.A.C.,1,100.0,ANCASH,SANTA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. J&L,1,100.0,ANCASH,SANTA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CORPORATIVO ATAUCHI E.I.R.L.,1,900.0,ANCASH,SANTA,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MOLINOS CALCAREOS ALPAMAYO E.I.R.L.,1,400.0,ANCASH,SANTA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
HAMVEL MULTISECTORIAL S.A.C. Y OTROS,1,100.0,ANCASH,SANTA,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
INFINITY CORP S.A.C. BIC,1,600.0,ANCASH,SANTA,TRAMITE,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. WINIBEL III,1,600.0,ANCASH,SANTA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CORPORACION MINERA IMAR S.A.C.,1,200.0,ANCASH,SANTA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
EMPRESA MINERA MELBENZ S.A.C.,1,200.0,ANCASH,SANTA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CONSORCIO UNIVERSO & OASIS TRES S.A.C.,1,500.0,ANCASH,SANTA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. SAN PEDRO I 2010,1,100.0,ANCASH,SANTA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MINERA AMANECER S.A.,1,100.0,ANCASH,SANTA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
TRANSBEL ASOCIADOS S.A.C.,1,100.0,ANCASH,SANTA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
INVERSIONES JO-MART S.R.L.,1,400.0,ANCASH,SANTA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
GRUPO IMPERIO DORADO S.A.,1,200.0,ANCASH,SANTA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. LA SORPRESA,1,108.1,ANCASH,SANTA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
EMPRESA MINERA SAN JACINTO S.R.L.,1,300.0,ANCASH,SANTA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. ZIREL,1,300.0,ANCASH,SANTA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. CANTERA ARIES,1,500.0,ANCASH,SANTA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
RESEA.COM S.A.C.,1,100.0,ANCASH,SANTA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CORPORACION MINERA FLORES S.A.C.,1,500.0,ANCASH,SANTA,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
EL PACIFICO DORADO S.A.C.,1,200.0,ANCASH,SANTA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
EMPRESA DE TRANSPORTE JEERGIKA E.I.R.L.,1,200.0,ANCASH,SANTA,TRAMITE,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
NEWMONT PERU S.R.L.,1,1000.0,ANCASH,SANTA,EXTINGUIDO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. DIEGO ANDRE,1,100.0,ANCASH,SANTA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. DON ENRIQUE B,1,100.0,ANCASH,SANTA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
GASOCENTRO EL SOL S.A.C.,1,400.0,ANCASH,SANTA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
GRUPO INVERSIONES SULMA S.A.C.,1,900.0,ANCASH,SANTA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
COMPAÑIA MINERA SCORPION PERU S.A.C.,1,200.0,ANCASH,SANTA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MG GROUP SAC,1,300.0,ANCASH,SANTA,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. RAZZIELLA,1,700.0,ANCASH,SANTA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
GRUPO RAGO S.A.C.,1,400.0,ANCASH,SANTA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
EMPRESA ASIRI S.A.C.,1,400.0,ANCASH,SANTA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. CORPORACION EL SARCO I,1,200.0,ANCASH,SANTA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
SERVICIOS GENERALES GLOCAR S.R.L,1,100.0,ANCASH,SANTA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. ZAVILA,1,100.0,ANCASH,SANTA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. TELMO I,1,200.0,ANCASH,SANTA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CORPORACION DE INGENIERIA ULISES SAC,1,300.0,ANCASH,SANTA,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. EL ESPÍA,1,100.0,ANCASH,SANTA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. CORPORACION EL SARCO II,1,100.0,ANCASH,SANTA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
EXPLOTACIONES Y SERVICIOS MINEROS S.A.C,1,100.0,ANCASH,SANTA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CORPORACION MINERA MILENIUM SAC,1,100.0,ANCASH,SANTA,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
COMPAÑIA MINERA LOMA DORADA S.A.C.,1,200.0,ANCASH,SANTA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. CORPORACIÓN GECEF 5,1,100.0,ANCASH,SANTA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
IMPORTACIONES Y SERVICIOS PERU S.A.C,1,13.7,ANCASH,SANTA,OTROS,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. ECOTECH VII,1,300.0,ANCASH,SANTA,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. MINERA CANTINETT & SUSERMIN SAC,1,100.0,ANCASH,SANTA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
JJY LOS JARITAS S.A.C,1,200.0,ANCASH,SANTA,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
SHEBITA S.A.C.,1,200.0,ANCASH,SANTA,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
PEDREPLAST S.A.C,1,100.0,ANCASH,SANTA,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
VICTORIA SILVIA ELIZABETH CRISTHIAN E.I.R.L.,1,100.0,ANCASH,SANTA,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
BLUE WILL E.I.R.L. Y OTROS,1,800.0,ANCASH,SANTA,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. VALERIO 28,1,100.0,ANCASH,YUNGAY,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. MI BELEN,1,200.0,ANCASH,YUNGAY,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. XIOMY,1,200.0,ANCASH,YUNGAY,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. LINETTE II,1,500.0,ANCASH /  LA LIBERTAD,PALLASCA /  SANTIAGO DE CHUCO,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
ECO PLANING S.A.C.,1,400.0,ANCASH /  LA LIBERTAD,PALLASCA /  SANTIAGO DE CHUCO,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
VON TERRA SOCIEDAD ANONIMA CERRADA,1,300.0,ANCASH /  LA LIBERTAD,PALLASCA /  SANTIAGO DE CHUCO,EXTINGUIDO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
RIOBANK S.A.C.,1,900.0,ANCASH /  LA LIBERTAD,SANTA /  VIRU,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MINERAL ROMA S.A.C.,1,300.0,ANCASH /  LA LIBERTAD,PALLASCA /  SANTIAGO DE CHUCO,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
"TRANSPORTES, SERVICIOS MINEROS Y AGRICOLAS S.A.C.",1,200.0,ANCASH /  LA LIBERTAD,SANTA /  VIRU,TRAMITE,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CONSTRUCTORA DOBLE O S.A.C.,1,300.0,ANCASH /  LA LIBERTAD,PALLASCA /  SANTIAGO DE CHUCO,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. DORADITO 2024,1,100.0,ANCASH /  LA LIBERTAD,PALLASCA /  SANTIAGO DE CHUCO,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
COMPAÑIA MINERA PERU GOLD S.A.,1,100.0,ANCASH /  LA LIBERTAD,PALLASCA /  SANTIAGO DE CHUCO,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. ESPARTACO BOLOGNESI,1,100.0,ANCASH /  LA LIBERTAD,PALLASCA /  SANTIAGO DE CHUCO,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
ALYCAN NEGOCIOS INDUSTRIALES E.I.R.L,1,200.0,ANCASH /  LA LIBERTAD,PALLASCA /  SANTIAGO DE CHUCO,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. PERLA NEGRA 41,1,200.0,ANCASH /  LA LIBERTAD,PALLASCA /  SANTIAGO DE CHUCO,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
GOLDEN LAND SERVICIOS GENERALES E.I.R.L.,1,100.0,ANCASH /  LA LIBERTAD,PALLASCA /  SANTIAGO DE CHUCO,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MULTISERVICIOS ESPECIALIZADOS DEL NORTE S.A.C.,1,500.0,ANCASH /  LA LIBERTAD,PALLASCA /  SANTIAGO DE CHUCO,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. AMARANTA GOLD,1,100.0,ANCASH /  LA LIBERTAD,PALLASCA /  SANTIAGO DE CHUCO,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. LA DORADA I,1,400.0,ANCASH /  LA LIBERTAD,PALLASCA /  SANTIAGO DE CHUCO,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. SAN GERONIMO II 2025,1,100.0,ANCASH /  LA LIBERTAD,PALLASCA /  SANTIAGO DE CHUCO,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. KEDOSHIM,1,1000.0,CAJAMARCA,CONTUMAZA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MINERA ANDESORO S.A.C.,1,400.0,CAJAMARCA,CELENDIN,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
SOUTH INDUSTRIES S.A.C.,1,200.0,CAJAMARCA,CHOTA /  HUALGAYOC,EXTINGUIDO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. VIRGEN DEL VALLE,1,100.0,CAJAMARCA,SAN MARCOS,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. EL RESCATE DEL ALAMO DE CAJAMARCA,1,24.0,CAJAMARCA,CAJAMARCA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
TRES CERROS COMPANY S.A.C.,1,200.0,CAJAMARCA,CAJABAMBA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CORPORACION YHAWILL S.R.L.,1,28.6,CAJAMARCA,HUALGAYOC,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CALINOR S.A.C.,1,102.0,CAJAMARCA,CAJAMARCA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
VULCANO DRILLING S.A.C.,1,100.0,CAJAMARCA,CAJAMARCA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CORPORACION SAGRADO CORAZON S.A.C.,1,100.0,CAJAMARCA,CONTUMAZA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. EL ROSAL,1,300.0,CAJAMARCA,CHOTA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. SHADDAI I,1,200.0,CAJAMARCA,SAN MIGUEL /  SAN PABLO,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
NUBE BLANCA E.I.R.L.,1,28.0,CAJAMARCA,HUALGAYOC,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CANDENTE GOLD PERU S.A.C.,1,400.0,CAJAMARCA,SAN MIGUEL,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
INVERSIONES DEL NORTE L& M MANAGEMENT E.R.L,1,100.0,CAJAMARCA,HUALGAYOC,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
M & CALERA SANTA S.A.C,1,100.0,CAJAMARCA,CAJAMARCA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. NUEVA CALIFORNIA DE CAJAMARCA,1,4.0,CAJAMARCA,HUALGAYOC,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. COLORADA DE CAJAMARCA,1,7.3,CAJAMARCA,HUALGAYOC,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CANTERA LA TUNA BLANCA S.A.C.,1,100.0,CAJAMARCA,SANTA CRUZ,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
SOCIEDAD MINERA CAROLINA S.A.,1,35.0,CAJAMARCA,HUALGAYOC,OTROS,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. MC POLCY N5,1,100.0,CAJAMARCA,HUALGAYOC,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. LUMINOSA NUMERO 2A,1,200.0,CAJAMARCA,SAN PABLO,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
SOCIEDAD NUBE BLANCA TECNOCAL S.R.L.,1,50.0,CAJAMARCA,HUALGAYOC,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
SOCIEDAD MINERA CHETILLA S.R.L.,1,900.0,CAJAMARCA,CAJAMARCA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
REGULUS RESOURCES PERU S.A.C. Y OTROS,1,24.0,CAJAMARCA,HUALGAYOC,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
SOUTHERN LEGACY PERU S.A.C.,1,30.0,CAJAMARCA,HUALGAYOC,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. CASSIL 02,1,100.0,CAJAMARCA,HUALGAYOC,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
SOCIEDAD MINERA MARIA LUZ S.A.C.,1,0.3,CAJAMARCA,HUALGAYOC,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
RUMICUCHO S.R.L.,1,200.0,CAJAMARCA,CAJAMARCA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. ULRICA DE CAJAMARCA,1,1.9,CAJAMARCA,HUALGAYOC,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CERAMICOS LAGT E.I.R.L.,1,100.0,CAJAMARCA,JAEN,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. SAN BENITO II 2024,1,200.0,CAJAMARCA,CONTUMAZA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
SANSIL SERVICIOS GENERALES S.R.L.,1,100.0,CAJAMARCA,CELENDIN,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. JHIRED 2020,1,400.0,CAJAMARCA,CONTUMAZA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MULTISERVICIOS ROSITA S.A.C.,1,100.0,CAJAMARCA,CELENDIN,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
JHYOS MINERIA S.A.C.,1,100.0,CAJAMARCA,CAJAMARCA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. COLINAS NEGRAS,1,100.0,CAJAMARCA,CHOTA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. SARAI,1,100.0,CAJAMARCA,CAJAMARCA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. SAN MARCOS I,1,200.0,CAJAMARCA,CAJABAMBA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
FAR EXPLOMINS S.A.C,1,100.0,CAJAMARCA,SAN MARCOS,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
BELCON E.I.R.L.,1,100.0,CAJAMARCA,SAN MARCOS,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
JME JUNCO S.A.C.,1,100.0,CAJAMARCA,CELENDIN,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MINERA COBRE CELESTIAL S.A.C,1,900.0,CAJAMARCA,SAN MIGUEL,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
FERRETERIA E INVERSIONES PEREZ S.A.C.,1,100.0,CAJAMARCA,CUTERVO,TRAMITE,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
WARMIKUNA MINING SOCIEDAD ANONIMA CERRADA,1,100.0,CAJAMARCA,CAJAMARCA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
IMPORT SERVICIOS GENERALES PACIFICO'S S.A.C.,1,100.0,CAJAMARCA,CHOTA,TRAMITE,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
COMPAÑIA MINERA RIO GUILLERMO S.A.C.,1,100.0,CAJAMARCA,JAEN,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. VALLE DORADO DEL NORTE I,1,400.0,CAJAMARCA,CAJABAMBA /  SAN MARCOS,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
HEMAC NEGOCIOS Y SERVICIOS GENERALES S.R.L.,1,100.0,CAJAMARCA,CAJAMARCA,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
HANAQ PERU S.A.C,1,100.0,CAJAMARCA,SAN MIGUEL,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. ARCILLAS PERÚ 1,1,300.0,CAJAMARCA,CAJAMARCA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CONSTRUCTORA INMOBILIARIA B&G SERVICIOS GENERALES S.R.L,1,200.0,CAJAMARCA,HUALGAYOC,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MINER´S HOUSE FMB S.A.C,1,700.0,CAJAMARCA,CAJABAMBA,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. SAN ANTONIO DE TAYAL,1,100.0,CAJAMARCA,CAJAMARCA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. CONSULADO DE CAJAMARCA,1,5.6,CAJAMARCA,HUALGAYOC,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CONSTRUCTORA ROSA AMERICA S.A.C.,1,1000.0,CAJAMARCA,CONTUMAZA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
EMPRESA CALERA ALSABE S.R.L.,1,100.0,CAJAMARCA,HUALGAYOC,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MINERA CASCABAMBA S.A.C.,1,299.9,CAJAMARCA,CONTUMAZA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
INVERSIONES RD S.A.C.,1,100.0,CAJAMARCA,CAJABAMBA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MINERA P´HUYU - YURAQ II E.I.R.L.,1,100.0,CAJAMARCA,CAJAMARCA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MINEX S.A.C.,1,200.0,CAJAMARCA,CONTUMAZA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. SAN NICOLAS DE CAJAMARCA,1,24.0,CAJAMARCA,HUALGAYOC,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CERAMICA SAN LORENZO S.A.C.,1,900.0,CAJAMARCA,JAEN,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. CAPRICORNIO Y OTROS,1,20.0,CAJAMARCA,HUALGAYOC,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. LA SORPRESA DE CAJAMARCA,1,2.1,CAJAMARCA,HUALGAYOC,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. PRESIDENTE LEGUIA DE CAJAMARCA,1,6.0,CAJAMARCA,HUALGAYOC,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MINERA CERRO CUSHURO S.A.,1,399.8,CAJAMARCA,SAN MIGUEL,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. LA LUMINOSA DE CAJAMARCA,1,391.1,CAJAMARCA,CELENDIN,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. LA UNION DE CAJAMARCA,1,100.0,CAJAMARCA,CAJAMARCA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. JUAN DE DIOS I,1,200.0,CAJAMARCA,CAJAMARCA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
EMPRESA LOS DOS AMIGOS DE BAMBAMARCA S.R.L.,1,28.6,CAJAMARCA,HUALGAYOC,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. CLEOPATRA DE CAJAMARCA,1,8.0,CAJAMARCA,HUALGAYOC,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
SERVICIOS GENERALES ALDAPA E.I.R.L,1,100.0,CAJAMARCA,CELENDIN,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CAJAMARCA CIUDAD DE COLORES S.R.L.,1,100.0,CAJAMARCA,HUALGAYOC,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. RODOLFITO I,1,100.0,CAJAMARCA,CAJAMARCA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
NUEVO RENACER SERVICIOS GENERALES E.I.R.L.,1,400.0,CAJAMARCA,SAN MARCOS,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. PERU CAL III,1,100.0,CAJAMARCA,HUALGAYOC,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. EL TIMBO,1,100.0,CAJAMARCA,CHOTA /  HUALGAYOC,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
HCB CONTRATISTAS GENERALES S.R.L.,1,500.0,CAJAMARCA,CONTUMAZA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. PORCIA DE CAJAMARCA,1,2.0,CAJAMARCA,HUALGAYOC,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
KORI ANTA S.A.C.,1,8.0,CAJAMARCA,HUALGAYOC,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. VIRUCA DE CAJAMARCA,1,3.0,CAJAMARCA,HUALGAYOC,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
